deal_id,category,subcategory,geo,title,description,fine_print,num_options,option_names,price,value,discount_pct,merchant_name,image_quality_score,days_live,weekly_udvs_w1,weekly_orders_w1,weekly_udvs_w2,weekly_orders_w2,weekly_udvs_w3,weekly_orders_w3,weekly_udvs_w4,weekly_orders_w4,weekly_udvs_w5,weekly_orders_w5,weekly_udvs_w6,weekly_orders_w6,weekly_udvs_w7,weekly_orders_w7,weekly_udvs_w8,weekly_orders_w8,cvr,aov,refund_rate
aef6b9ea-456e-4c35-8293-6a89b0de6612,Food & Drink,Meal Kits,London,Amazing Dining Experience at Golden Cafe,Experience the best that London has to offer with this popular deal. Thousands of Groupon customers have enjoyed this offer. Book now to secure your spot before availability runs out. See fine print for redemption details.,Valid at London location only; Excludes weekends & public holidays; Gratuity not included,2,"Small, Large",34,79,0.5696,Golden Cafe,3,36,211,2,148,1,257,1,174,2,300,4,223,2,165,2,166,3,0.010341,35.68,0.0481
f4f00fc0-264d-437c-84dd-1231a2e9a19e,Beauty & Spas,Spa,Barcelona,Treat Yourself to a Premium Beauty Service at Crystal Scalp Care Spa,"Looking for something special? This deal has you covered. Great for individuals, couples, or groups. Flexible scheduling available. Check the fine print for full terms and restrictions. Voucher must be presented on arrival.",No cash value; Valid Mon-Fri only; No refunds after redemption; Limit 1 per household; Must present voucher on arrival; Gratuity not included,1,Complete Transformation,89,177,0.4972,Crystal Scalp Care Spa,5,94,1525,49,1959,81,1529,43,1465,49,1431,55,1933,68,1341,43,1334,39,0.034114,135.24,0.1078
7071f6eb-672c-4a13-ae23-1f1d5a1f964d,Beauty & Spas,Hair,Manchester,Before & After Full-Face Rejuvenation — PRP + Micro-Needling at Ivory Salon,"What We Offer: A results-driven treatment tailored to your individual needs, performed by certified specialists who have completed over 500 hours of advanced training. Each session includes a pre-treatment consultation, the procedure itself, and post-care instructions. We use only premium, cruelty-free products from leading clinical brands. Why You Should Grab This Offer: This treatment has been one of our most popular services for the past two years, with a 92% client satisfaction rate. Whether this is your first time or you're a returning client, we customize every session. Our treatment rooms are private and fully sanitized between appointments. Good to Know: Walk-ins welcome, but appointments are recommended to guarantee your preferred time. Located in downtown Manchester with easy transit access. Gift cards available if you'd like to share the experience.",Merchant is solely responsible for care; Not valid on holidays,3,"Option 1, Option 2, Option 3",53,83,0.3614,Ivory Salon,3,84,1354,97,1125,87,1543,77,1492,142,1028,79,1562,117,1214,116,665,48,0.07643,70.73,0.0751
f75ba083-29cf-4e05-8496-34e32ae87e5d,Retail,Gifts,London,Amazing Deal on Must-Have Products,Experience the best that London has to offer with this popular deal. Thousands of Groupon customers have enjoyed this offer. Book now to secure your spot before availability runs out. See fine print for redemption details.,Merchant is solely responsible for care; Valid at London location only,4,"Sample Pack, Full Set, Deluxe Gift Box",37,65,0.4308,Haven Supply,3,26,3084,50,1833,29,1751,33,2442,42,2561,37,2613,36,1888,33,2444,42,0.016223,48.69,0.0734
efc1d243-84c0-44c9-9ff3-fdce5db08eb1,Food & Drink,Cafes & Bakeries,Madrid,Afternoon Tea for Two w/ Champagne & 3-Tier Stand at Copper BBQ,"What We Offer: Enjoy a carefully curated dining experience prepared by our award-winning chef using locally sourced, seasonal ingredients. Each course is thoughtfully paired with beverages selected by our in-house sommelier. The menu changes quarterly to reflect the freshest produce available, so every visit offers something new. Vegetarian, vegan, and gluten-free options are always available — just let your server know. Why You Should Grab This Offer: We've been recognized by local food critics as one of Madrid's best-kept secrets, with a 4.6-star average on Google and Yelp. Our intimate dining room seats just 40 guests, creating a personal atmosphere you won't find at larger establishments. Private dining available for groups of 8 or more. Good to Know: Reservations recommended, especially on weekends. Free street parking available after 6 PM. Kids' menu available for diners under 12.",Appointment required; Not valid Dec 24-Jan 2; Gratuity not included; Merchant is solely responsible for care; Promotional value expires 120 days after purchase,2,"Small, Large",33,64,0.4844,Copper BBQ,4,26,2107,135,2860,150,1355,67,2337,136,2171,134,2537,137,2542,156,2795,144,0.056619,31.35,0.0552
63c0bfa3-fed9-4638-b37c-6b1bdfe2ba0c,Beauty & Spas,Med Spa,San Francisco,Enjoy a Fantastic Beauty Package at Pristine Wellness Center,This is a deal you won't want to miss. Perfect for anyone looking for a great experience at a great price. Limited availability — grab it before it's gone. Valid for new and existing customers. See fine print for full details and restrictions.,No refunds after redemption; Photo ID required,3,"1 Session, 3 Sessions, 5 Sessions",90,156,0.4231,Pristine Wellness Center,3,24,1839,38,1474,25,1496,22,1828,33,1597,27,1569,26,1655,26,1543,20,0.016691,110.61,0.0486
46d1be41-f5e3-4f42-a0e2-ed6c1ce2403d,Beauty & Spas,Nails,Houston,120-Min HIFU Full Face & Neck Lift + Collagen Treatment at Pristine Spa,"What We Offer: This deal includes a full consultation to identify your specific skin concerns, followed by a customized treatment performed by a licensed aesthetician with over 10 years of experience. All products used are medical-grade and dermatologist-approved. The session begins with a thorough skin analysis, followed by the treatment itself, and ends with a personalized at-home care plan. Before and after photos are taken so you can track your results over time. Why You Should Grab This Offer: Whether you're dealing with fine lines, uneven skin tone, acne scarring, or just want a refresh, this treatment is designed to deliver visible results from the first session. Our specialists tailor every session to your skin type — no cookie-cutter approach. Good to Know: Located in Houston with free parking and complimentary refreshments in the waiting area. Open 7 days a week with evening appointments available. Online booking at our website — same-week availability.",Limit 1 per person; Subject to availability,4,"1 Visit, 3 Visits, 5 Visits, 10 Visits",20,37,0.4595,Pristine Spa,2,96,2720,47,1910,43,2387,50,2813,57,1572,31,2651,41,1567,31,3123,65,0.019474,23.1,0.0359
c7b4616b-d5ae-448f-9366-2393061477cc,Retail,Home Goods,Houston,"Personalized Canvas Print — 8x10, 16x20, or 24x36",What's Included: Product ships within 2-3 business days via USPS or UPS with tracking number provided via email. Each item is quality-inspected before shipping and arrives in protective packaging. 30-day hassle-free returns accepted with original packaging — we'll provide a prepaid return label. Why You Should Grab This Offer: This product has been one of our top sellers with over 500 five-star reviews. Made with premium materials designed for daily use. Makes an excellent gift — arrives in presentation-ready packaging with the option to include a personalized gift note at checkout. Good to Know: Available in multiple sizes and colors — select your preferred option at checkout. Ships to all 50 US states. International shipping available for an additional fee. Bulk orders of 5+ units receive an automatic 10% discount.,Gratuity not included; Excludes alcohol; No refunds after redemption; New customers only; Cannot be combined with other offers; Photo ID required,2,"Starter Set, Complete Collection",36,67,0.4627,Heritage Supply,2,78,3631,76,2645,68,3340,63,2002,48,3248,60,2705,51,3812,92,2468,61,0.02176,54.09,0.0451
d14809b9-36aa-43f3-85da-4f82d092650e,Beauty & Spas,Skin Care,Barcelona,Unwind w/ a Wonderful Relaxation Package at Opulent Spa,A great way to try something new without breaking the bank. This deal has been popular with Groupon customers. Limited quantities available. Valid only for the option purchased. See fine print for all terms.,Appointment required; Valid at Barcelona location only; New customers only; Limit 1 per household; Expires 90 days from purchase; Not valid Dec 24-Jan 2; Must redeem within 30 days; Excludes alcohol,2,"Option 1, Option 2",50,88,0.4318,Opulent Spa,2,78,2095,29,2310,28,1729,21,1675,20,2224,27,1841,23,1993,22,1780,22,0.012271,51.69,0.0454
2376c7e2-f31b-4124-a9ec-8676b7c9feea,Home Services,Handyman,Manchester,Best Home Care in Manchester at TruGuard Experts,Highly rated by Groupon customers in Manchester. Easy online booking with instant confirmation. Satisfaction guaranteed or your money back. This deal won't last long — availability is limited.,Promotional value expires 120 days after purchase; Photo ID required; Not valid Dec 24-Jan 2; Not valid on holidays,2,"Small, Large",53,146,0.637,TruGuard Experts,2,7,2145,23,1933,11,1660,22,1624,21,2227,15,2235,24,2278,29,1965,26,0.010643,72.47,0.0512
05c8dcbd-1192-4032-90fd-4a71f5b159e8,Beauty & Spas,Med Spa,London,Enjoy a Fantastic Beauty Package at Lotus Skin Lounge,Experience the best that London has to offer with this popular deal. Thousands of Groupon customers have enjoyed this offer. Book now to secure your spot before availability runs out. See fine print for redemption details.,Must redeem within 30 days; Merchant is solely responsible for care; Promotional value expires 120 days after purchase; Valid Mon-Fri only,1,Basic,84,166,0.494,Lotus Skin Lounge,1,16,1371,19,1376,39,1918,41,2254,45,2334,54,1234,22,2144,40,1406,30,0.02066,113.04,0.0224
fb4156f9-4f6b-4d3a-9545-41c19b038937,Home Services,Pest Control,San Francisco,Trusted Service from AllStar Home Services,An opportunity to enjoy premium service at a fraction of the regular cost. Our customers love the convenience and value of this deal. Valid for the options listed. See fine print for scheduling and restrictions.,Expires 90 days from purchase; Limit 1 per person; Not valid Dec 24-Jan 2; Promotional value expires 120 days after purchase; Excludes weekends & public holidays; Valid for dine-in only; Must be 18+,4,"Option 1, Option 2, Option 3, Option 4",111,170,0.3471,AllStar Home Services,3,33,1267,23,1239,25,1400,24,863,15,1182,21,1733,45,1196,27,1283,22,0.019876,143.95,0.0976
7e4b602c-1ae9-4822-9fd9-f128f8ca8d4d,Beauty & Spas,Skin Care,Barcelona,Revitalize Your Look w/ Amazing Services at Zen Skin Lounge,A great way to try something new without breaking the bank. This deal has been popular with Groupon customers. Limited quantities available. Valid only for the option purchased. See fine print for all terms.,Valid Mon-Fri only; No refunds after redemption; 48-hour cancellation policy; Valid at Barcelona location only; No cash value; Promotional value expires 120 days after purchase; Photo ID required; New customers only; Excludes weekends & public holidays,2,"Single, Double",62,153,0.5948,Zen Skin Lounge,3,86,1630,28,3037,69,2963,55,3108,62,2376,51,2106,34,2691,46,3639,74,0.019443,52.44,0.0944
b6c3f2fc-2640-4ceb-b207-afd64ae393ed,Retail,Gifts,Barcelona,Memory Foam Pillow — Standard or King Size,"What's Included: Your order includes everything listed in the product description — no additional purchases required. Each item is manufactured to strict quality standards with durable materials built to last. Detailed care instructions included in the box. Why You Should Grab This Offer: We've sold over 10,000 units of this product and maintain a 4.5-star average rating. Customer favorites include the build quality, packaging, and fast shipping. Perfect as a treat for yourself or as a thoughtful gift for someone special. We stand behind every product with a 1-year manufacturer warranty. Good to Know: Ships from our US-based warehouse. Standard shipping takes 3-5 business days. Express shipping available at checkout for an additional fee. Contact our customer service team for any questions — average response time under 4 hours.",48-hour cancellation policy; Valid at Barcelona location only; Limit 1 per person; Must present voucher on arrival; Expires 90 days from purchase; Must redeem within 30 days,2,"Starter Set, Complete Collection",56,91,0.3846,Artisan Emporium,4,89,2838,215,1860,152,2452,151,1267,93,2123,174,3181,218,2248,159,1841,132,0.072656,72.13,0.1161
85a75edc-ac4d-45f1-9244-cd3141dca67d,Travel,Resorts,Denver,Relax & Unwind at Royal Hotel & Spa,Experience the best that Denver has to offer with this popular deal. Thousands of Groupon customers have enjoyed this offer. Book now to secure your spot before availability runs out. See fine print for redemption details.,Promotional value expires 120 days after purchase; New customers only; 48-hour cancellation policy; Valid for dine-in only; No cash value,1,Weekend Escape,348,560,0.3786,Royal Hotel & Spa,5,81,1791,60,2198,109,2232,79,3292,98,2123,41,2801,106,2853,149,1706,80,0.038008,437.6,0.0633
7406a191-43f7-4557-aa77-f6a5dd96ac2d,Retail,Home Goods,Los Angeles,Custom Phone Case — 100+ Designs w/ Free Shipping,What's Included: Product ships within 2-3 business days via USPS or UPS with tracking number provided via email. Each item is quality-inspected before shipping and arrives in protective packaging. 30-day hassle-free returns accepted with original packaging — we'll provide a prepaid return label. Why You Should Grab This Offer: This product has been one of our top sellers with over 500 five-star reviews. Made with premium materials designed for daily use. Makes an excellent gift — arrives in presentation-ready packaging with the option to include a personalized gift note at checkout. Good to Know: Available in multiple sizes and colors — select your preferred option at checkout. Ships to all 50 US states. International shipping available for an additional fee. Bulk orders of 5+ units receive an automatic 10% discount.,Valid for dine-in only; Subject to availability; Must be 18+; Not valid Dec 24-Jan 2; No cash value,2,"1 Session, 3 Sessions",29,46,0.3696,Wander Supply,4,95,1195,115,1297,94,968,66,581,38,1040,89,1020,90,1161,88,950,54,0.077204,29.57,0.0383
fa53b500-0507-45f0-9c0e-5f4148359e06,Automotive,Inspection,Birmingham,Amazing Auto Service at PrecisionAuto Car Wash & Detail,An opportunity to enjoy premium service at a fraction of the regular cost. Our customers love the convenience and value of this deal. Valid for the options listed. See fine print for scheduling and restrictions.,48-hour cancellation policy; Gratuity not included; Must be 18+; Limit 1 per person; Expires 90 days from purchase,1,Complete Vehicle Refresh,70,154,0.5455,PrecisionAuto Car Wash & Detail,1,119,1462,26,1013,22,1212,26,1356,25,987,21,1472,23,1400,25,1340,28,0.019137,103.93,0.083
23366f23-db95-4b70-b02d-328c4c61a919,Beauty & Spas,Skin Care,Chicago,60-Min Facial w/ Microdermabrasion & LED Light Therapy at Sapphire Wellness Center,"During the procedure, a licensed professional uses specialized equipment to target problem areas. The treatment is non-invasive and typically takes 45-60 minutes per session. Clients may experience mild redness for 1-2 hours post-treatment, which subsides naturally. What We Offer: Choose from single sessions or multi-session packages for best results. All treatments are performed in a private, sanitized room using FDA-approved devices. A patch test is included for first-time clients at no extra charge. Why You Should Grab This Offer: Rated 4.8 stars by over 200 Groupon customers. Our board-certified staff combines clinical expertise with a relaxing spa atmosphere — so you get real results without the clinical feel. Results are cumulative; most clients see noticeable improvement after 2-3 sessions. Good to Know: New and returning clients welcome. Consultation required before first treatment — if you are ineligible, a full refund will be provided.",Photo ID required; Limit 1 per household,1,Complete Transformation,59,129,0.5426,Sapphire Wellness Center,4,118,1627,111,1304,95,1877,139,1746,158,1818,164,1792,171,1735,160,2004,130,0.081134,70.97,0.0579
8c85a346-2de1-4234-ac57-b4fd32141df6,Home Services,Handyman,Dallas,Professional Care for Your Home at EcoShield Home Services,"Save on this top-rated experience in Dallas. Whether you're a local or just visiting, this deal offers real value. Simple redemption — just show your voucher. See fine print for full details.",Must present voucher on arrival; Excludes alcohol; Expires 90 days from purchase; Valid for dine-in only; Cannot be combined with other offers; Limit 1 per household; Promotional value expires 120 days after purchase; New customers only; No cash value,2,"Single, Double",180,332,0.4578,EcoShield Home Services,1,111,1931,38,1817,38,1788,25,2548,39,2492,46,2247,48,2196,41,2259,41,0.018289,217.94,0.1483
bb6b93bf-63f8-46bf-beb7-144bbf2dd044,Beauty & Spas,Hair,Chicago,Before & After Smile Transformation — Zoom Whitening at Ivory Med Spa,"During the procedure, a licensed professional uses specialized equipment to target problem areas. The treatment is non-invasive and typically takes 45-60 minutes per session. Clients may experience mild redness for 1-2 hours post-treatment, which subsides naturally. What We Offer: Choose from single sessions or multi-session packages for best results. All treatments are performed in a private, sanitized room using FDA-approved devices. A patch test is included for first-time clients at no extra charge. Why You Should Grab This Offer: Rated 4.8 stars by over 200 Groupon customers. Our board-certified staff combines clinical expertise with a relaxing spa atmosphere — so you get real results without the clinical feel. Results are cumulative; most clients see noticeable improvement after 2-3 sessions. Good to Know: New and returning clients welcome. Consultation required before first treatment — if you are ineligible, a full refund will be provided.",No refunds after redemption; Limit 1 per person; Photo ID required; Valid Mon-Fri only; Must be 18+; Promotional value expires 120 days after purchase; 48-hour cancellation policy; Excludes weekends & public holidays; Not valid on holidays; Merchant is solely responsible for care,2,"1 Session, 3 Sessions",43,118,0.6356,Ivory Med Spa,1,102,1749,73,2871,105,2252,115,3228,177,3173,123,2194,109,3398,155,2765,116,0.044984,51.98,0.1533
f5b131fa-fdcd-45e9-866f-8f6c7c452f51,Travel,Hotels,Barcelona,1 or 2-Night Stay in King Suite w/ Spa Access at Sunrise Lodge,"What We Offer: A relaxing stay at a hand-picked property featuring on-site dining, pool, fitness center, and complimentary Wi-Fi throughout. Your rate includes daily breakfast for two, served in our dining room or delivered to your suite. Rooms feature premium linens, blackout curtains, a Nespresso machine, and a fully stocked minibar (charges apply). Why You Should Grab This Offer: Escape the routine without the hassle of planning every detail. We've partnered with this property specifically for its combination of location, amenities, and service quality. Guest reviews consistently highlight the friendly staff, clean rooms, and excellent breakfast spread. Good to Know: Check-in from 3 PM, checkout by 11 AM. Late checkout available upon request (subject to availability). Free cancellation up to 48 hours before arrival. Parking included. Pet-friendly rooms available on request at select properties.",Valid Mon-Fri only; Excludes weekends & public holidays; Not valid Dec 24-Jan 2; 48-hour cancellation policy; Must present voucher on arrival; Gratuity not included; Appointment required,3,"Overnight Stay, Weekend Escape, Week-Long Retreat",153,320,0.5219,Sunrise Lodge,1,24,1535,66,658,18,1251,47,1556,65,1285,54,2064,93,1176,52,1712,63,0.040758,169.67,0.1429
f5a4bbb4-966d-468f-846b-f5695f668e52,Beauty & Spas,Nails,San Francisco,"20, 40, or 60 Units of Botox at Crystal Spa","What We Offer: This deal includes a full consultation to identify your specific skin concerns, followed by a customized treatment performed by a licensed aesthetician with over 10 years of experience. All products used are medical-grade and dermatologist-approved. The session begins with a thorough skin analysis, followed by the treatment itself, and ends with a personalized at-home care plan. Before and after photos are taken so you can track your results over time. Why You Should Grab This Offer: Whether you're dealing with fine lines, uneven skin tone, acne scarring, or just want a refresh, this treatment is designed to deliver visible results from the first session. Our specialists tailor every session to your skin type — no cookie-cutter approach. Good to Know: Located in San Francisco with free parking and complimentary refreshments in the waiting area. Open 7 days a week with evening appointments available. Online booking at our website — same-week availability.",No cash value; Not valid on holidays; Limit 1 per person; Gratuity not included,2,"Option 1, Option 2",37,100,0.63,Crystal Spa,2,38,1025,53,944,48,665,46,621,33,837,56,903,66,904,51,1226,74,0.05993,39.67,0.0418
010702e4-97c4-4852-8d9f-d59b6d5559f3,Retail,Electronics,Barcelona,Shop Smart & Save Big,An opportunity to enjoy premium service at a fraction of the regular cost. Our customers love the convenience and value of this deal. Valid for the options listed. See fine print for scheduling and restrictions.,Valid for dine-in only; New customers only; Excludes alcohol; Limit 1 per household; Not valid on holidays; Gratuity not included; Excludes weekends & public holidays; Valid Mon-Fri only,3,"Sample Pack, Full Set, Deluxe Gift Box",56,76,0.2632,Wander Store,4,94,2227,67,2148,79,2587,102,2512,77,2607,101,2418,95,2330,94,1784,76,0.037125,75.14,0.1232
cd4c0e29-2c20-4639-895e-b6692cdd49b6,Travel,Hotels,Madrid,Escape the Everyday at Golden Gate Inn,"Save on this top-rated experience in Madrid. Whether you're a local or just visiting, this deal offers real value. Simple redemption — just show your voucher. See fine print for full details.",Excludes alcohol; Expires 90 days from purchase; Gratuity not included; Limit 1 per household,2,"Quick Getaway, Extended Retreat",197,399,0.5063,Golden Gate Inn,2,118,2389,12,2075,12,3111,25,2125,14,2354,14,2722,21,2299,15,2339,14,0.006542,299.4,0.0513
7b13d839-46cb-4c07-a3d1-aa33b9c94987,Beauty & Spas,Skin Care,Madrid,Indulge in a Relaxing Spa Experience at Bella Wellness Center,Experience the best that Madrid has to offer with this popular deal. Thousands of Groupon customers have enjoyed this offer. Book now to secure your spot before availability runs out. See fine print for redemption details.,Not valid on holidays; No cash value; Promotional value expires 120 days after purchase; Valid for dine-in only; Valid at Madrid location only; Valid Mon-Fri only; Must present voucher on arrival; No refunds after redemption; Excludes alcohol,2,"Option 1, Option 2",21,42,0.5,Bella Wellness Center,3,34,1414,24,1384,18,987,15,1570,26,1791,25,1300,23,1353,23,1150,17,0.015618,23.56,0.0609
